species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ
Mm Hs	TFF2	Airway goblet cells	SML1	0.002	trefoil factor 2	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	AQP5	Airway goblet cells	NA	0.018	aquaporin 5	protein-coding gene	NA	Mesoderm	Lungs
Mm	CBR2	Airway goblet cells	NA	0.019	carbonyl reductase 2	protein coding gene	NA	Mesoderm	Lungs
Mm Hs	QSOX1	Airway goblet cells	QSCN6	0.028	quiescin sulfhydryl oxidase 1	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	FXYD3	Airway goblet cells	MAT-8|PLML	0.033	FXYD domain containing ion transport regulator 3	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	SEC23B	Airway goblet cells	CDA-II|CDAII|HEMPAS|CDAN2	0.018	Sec23 homolog B, coat complex II component	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	CEACAM1	Airway goblet cells	BGP1|CD66a|BGP	0.021	carcinoembryonic antigen related cell adhesion molecule 1	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	GOLPH3	Airway goblet cells	GPP34|GOPP1|MIDAS|Vps74	0.064	golgi phosphoprotein 3	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	GGH	Airway goblet cells	NA	0.063	gamma-glutamyl hydrolase	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	GALNT5	Airway goblet cells	GalNAc-T5	0.0	polypeptide N-acetylgalactosaminyltransferase 5	protein-coding gene	1	Mesoderm	Lungs
Mm Hs	GALNT6	Airway goblet cells	GalNAc-T6	0.004	polypeptide N-acetylgalactosaminyltransferase 6	protein-coding gene	1	Mesoderm	Lungs
Mm Hs	MUC5AC	Airway goblet cells	NA	0.001	mucin 5AC, oligomeric mucus/gel-forming	protein-coding gene	1	Mesoderm	Lungs
Mm Hs	MUC4	Airway goblet cells	NA	0.002	mucin 4, cell surface associated	protein-coding gene	1	Mesoderm	Lungs
Mm Hs	MUC20	Airway goblet cells	FLJ14408|KIAA1359	0.0	mucin 20, cell surface associated	protein-coding gene	1	Mesoderm	Lungs
Mm Hs	SPDEF	Airway goblet cells	PDEF|bA375E1.3	0.003	SAM pointed domain containing ETS transcription factor	protein-coding gene	1	Mesoderm	Lungs
Mm Hs	DUSP4	Airway goblet cells	HVH2|MKP-2|TYP	0.01	dual specificity phosphatase 4	protein-coding gene	1	Mesoderm	Lungs
Mm Hs	NOG	Airway smooth muscle cells	SYNS1	0.001	noggin	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	ACTA2	Airway smooth muscle cells	ACTSA	0.034	actin, alpha 2, smooth muscle, aorta	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	FOXF1	Airway smooth muscle cells	FREAC1|FKHL5	0.006	forkhead box F1	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	GATA5	Airway smooth muscle cells	bB379O24.1|GATAS	0.001	GATA binding protein 5	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	GCG	Alpha cells	GLP2|GRPP	0.017	glucagon	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	TTR	Alpha cells	HsT2651|CTS|PALB|CTS1	0.044	transthyretin	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	GLP1R	Alpha cells	GLP-1R	0.0	glucagon like peptide 1 receptor	protein-coding gene	NA	Endoderm	Pancreas
Mm Hs	ARX	Alpha cells	ISSX|CT121|EIEE1|MRXS1|PRTS|MRX76|MRX54|MRX43|MRX36|MRX29|MRX32|MRX33|MRX38|MRX87	0.022	aristaless related homeobox	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	POU3F4	Alpha cells	BRN4|OTF9|DFNX2|DFN3	0.004	POU class 3 homeobox 4	protein-coding gene	NA	Endoderm	Pancreas
Mm Hs	NKX2-2	Alpha cells	NKX2.2|NKX2B	0.003	NK2 homeobox 2	protein-coding gene	NA	Endoderm	Pancreas
Mm Hs	RESP18	Alpha cells	NA	0.05	regulated endocrine specific protein 18	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PYY	Alpha cells	PYY1	0.006	peptide YY	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PCSK2	Alpha cells	SPC2|NEC2	0.034	proprotein convertase subtilisin/kexin type 2	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	SLC38A5	Alpha cells	SN2|JM24	0.024	solute carrier family 38 member 5	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	TM4SF4	Alpha cells	il-TMP	0.016	transmembrane 4 L six family member 4	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CRYBA2	Alpha cells	NA	0.01	crystallin beta A2	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	NKX6-1	Alpha cells	Nkx6.1|NKX6A	0.007	NK6 homeobox 1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	KCNK16	Alpha cells	K2p16.1|TALK-1|TALK1	0.007	potassium two pore domain channel subfamily K member 16	protein-coding gene	NA	Endoderm	Pancreas
Mm Hs	PCSK1	Alpha cells	PC1|NEC1	0.009	proprotein convertase subtilisin/kexin type 1	protein-coding gene	NA	Endoderm	Pancreas
Mm Hs	PRRG2	Alpha cells	PRGP2	0.008	proline rich and Gla domain 2	protein-coding gene	NA	Endoderm	Pancreas
Mm Hs	IRX2	Alpha cells	NA	0.012	iroquois homeobox 2	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	ALDH1A1	Alpha cells	RALDH1|PUMB1|ALDH1	0.034	aldehyde dehydrogenase 1 family member A1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PEMT	Alpha cells	PEMPT|PEMT2	0.014	phosphatidylethanolamine N-methyltransferase	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CHGA	Alpha cells	NA	0.056	chromogranin A	protein-coding gene	1	Endoderm	Pancreas
4	DEPP1	Alpha cells	DEPP|Fseg|C10orf10	0.0	DEPP1, autophagy regulator	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	SMIM24	Alpha cells	HSPC323|C19orf77	0.034	small integral membrane protein 24	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	F10	Alpha cells	NA	0.008	coagulation factor X	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	SCGN	Alpha cells	SECRET|DJ501N12.8|SEGN|CALBL	0.016	secretagogin, EF-hand calcium binding protein	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	SLC30A8	Alpha cells	ZnT-8	0.005	solute carrier family 30 member 8	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	SH3GL2	Alpha cells	SH3P4|SH3D2A|CNSA2|EEN-B1	0.03	SH3 domain containing GRB2 like 2, endophilin A1	protein-coding gene	1	Endoderm	Pancreas
Hs	SCGB2A1	Alpha cells	UGB3|LPHC|MGC71973|MGB2	0.004	secretoglobin family 2A member 1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	FAP	Alpha cells	NA	0.003	fibroblast activation protein alpha	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	DPP4	Alpha cells	CD26|ADCP2	0.015	dipeptidyl peptidase 4	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	GPR119	Alpha cells	hGPCR2|GPCR2	0.0	G protein-coupled receptor 119	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	MAFB	Alpha cells	KRML	0.043	MAF bZIP transcription factor B	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PAX6	Alpha cells	D11S812E|AN2	0.056	paired box 6	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	NEUROD1	Alpha cells	BETA2|BHF-1|NeuroD|bHLHa3|MODY6|NEUROD	0.043	neuronal differentiation 1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	LOXL4	Alpha cells	FLJ21889|LOXC	0.001	lysyl oxidase like 4	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PLCE1	Alpha cells	KIAA1516|NPHS3	0.005	phospholipase C epsilon 1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	GC	Alpha cells	VDBP|hDBP	0.008	GC, vitamin D binding protein	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	KLHL41	Alpha cells	SARCOSIN|Krp1|KBTBD10	0.0	kelch like family member 41	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	FEV	Alpha cells	Pet-1	0.004	FEV, ETS transcription factor	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PTGER3	Alpha cells	EP3	0.001	prostaglandin E receptor 3	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	RFX6	Alpha cells	MGC33442|dJ955L16.1|RFXDC1	0.002	regulatory factor X6	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	SMARCA1	Alpha cells	NURF140|SWI|hSNF2L|SNF2L1|SNF2L	0.015	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PGR	Alpha cells	NR3C3	0.003	progesterone receptor	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	LDB2	Alpha cells	LDB1	0.017	LIM domain binding 2	protein-coding gene	1	Endoderm	Pancreas
Mm	CHIL3	Alveolar macrophages	NA	0.02	chitinase-like 3	protein coding gene	NA	Mesoderm	Lungs
Mm Hs	PLET1	Alveolar macrophages	C11orf34	0.017	placenta expressed transcript 1	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	IL1B	Alveolar macrophages	IL1F2|IL-1B|IL1-BETA	0.022	interleukin 1 beta	protein-coding gene	NA	Mesoderm	Lungs
Mm	WFDC21	Alveolar macrophages	NA	0.021	WAP four-disulfide core domain 21	protein coding gene	NA	Mesoderm	Lungs
Mm	BGLAP3	Alveolar macrophages	NA	0.002	bone gamma-carboxyglutamate protein 3	protein coding gene	NA	Mesoderm	Lungs
Mm Hs	CCL3	Alveolar macrophages	G0S19-1|LD78ALPHA|MIP-1-alpha|SCYA3	0.027	C-C motif chemokine ligand 3	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	G0S2	Alveolar macrophages	NA	0.036	G0/G1 switch 2	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	CXCL2	Alveolar macrophages	SCYB2|GROb|MIP-2a|MGSA-b|CINC-2a|GRO2	0.032	C-X-C motif chemokine ligand 2	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	MCEMP1	Alveolar macrophages	MGC132456|C19orf59	0.018	mast cell expressed membrane protein 1	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	KLHDC4	Alveolar macrophages	DKFZp434G0522	0.007	kelch domain containing 4	protein-coding gene	NA	Mesoderm	Lungs
Mm	BCL2A1D	Alveolar macrophages	NA	0.021	B cell leukemia/lymphoma 2 related protein A1d	protein coding gene	NA	Mesoderm	Lungs
Mm Hs	GDA	Alveolar macrophages	NA	0.034	guanine deaminase	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	CLEC7A	Alveolar macrophages	dectin-1|hDectin-1|CD369|SCARE2|CLECSF12	0.027	C-type lectin domain containing 7A	protein-coding gene	NA	Mesoderm	Lungs
Mm	BCL2A1B	Alveolar macrophages	NA	0.033	B cell leukemia/lymphoma 2 related protein A1b	protein coding gene	NA	Mesoderm	Lungs
Mm Hs	ITGAX	Alveolar macrophages	CD11c|CD11C	0.006	integrin subunit alpha X	protein-coding gene	1	Mesoderm	Lungs
Mm Hs	TNFAIP2	Alveolar macrophages	B94|EXOC3L3	0.026	TNF alpha induced protein 2	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	CD36	Alveolar macrophages	SCARB3|GPIV|GP4|GP3B	0.032	CD36 molecule	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	GAL	Alveolar macrophages	GMAP|GAL-GMAP|GLNN|GALN	0.012	galanin and GMAP prepropeptide	protein-coding gene	NA	Mesoderm	Lungs
Mm	CAR4	Alveolar macrophages	NA	0.026	carbonic anhydrase 4	protein coding gene	NA	Mesoderm	Lungs
Mm	EAR2	Alveolar macrophages	NA	0.008	eosinophil-associated, ribonuclease A family, member 2	protein coding gene	1	Mesoderm	Lungs
Mm Hs	TLR2	Alveolar macrophages	TIL4|CD282	0.011	toll like receptor 2	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	GPNMB	Alveolar macrophages	NMB|HGFIN	0.011	glycoprotein nmb	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	MRC1	Alveolar macrophages	CLEC13D|CD206|bA541I19.1|CLEC13DL|MRC1L1	0.025	mannose receptor C-type 1	protein-coding gene	NA	Mesoderm	Lungs
Mm	LYZ1	Alveolar macrophages	NA	0.021	lysozyme 1	protein coding gene	NA	Mesoderm	Lungs
Mm Hs	MARCO	Alveolar macrophages	SCARA2|SR-A6	0.003	macrophage receptor with collagenous structure	protein-coding gene	1	Mesoderm	Lungs
Mm Hs	CSF2RB	Alveolar macrophages	IL5RB|CD131|betaGMR|IL3RB	0.015	colony stimulating factor 2 receptor beta common subunit	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	MPP1	Alveolar macrophages	PEMP|DXS552E	0.036	membrane palmitoylated protein 1	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	TRIM25	Alveolar macrophages	EFP|RNF147|ZNF147	0.023	tripartite motif containing 25	protein-coding gene	NA	Mesoderm	Lungs
Mm	EAR1	Alveolar macrophages	NA	0.003	eosinophil-associated, ribonuclease A family, member 1	protein coding gene	NA	Mesoderm	Lungs
Mm Hs	OLR1	Alveolar macrophages	LOX-1|SCARE1|CLEC8A	0.003	oxidized low density lipoprotein receptor 1	protein-coding gene	NA	Mesoderm	Lungs
Mm Hs	S100A4	Alveolar macrophages	P9KA|18A2|PEL98|42A|CAPL	0.085	S100 calcium binding protein A4	protein-coding gene	1	Mesoderm	Lungs
Mm Hs	GNGT2	Alveolar macrophages	GNG9	0.041	G protein subunit gamma transducin 2	protein-coding gene	1	Mesoderm	Lungs
Mm	SIGLECF	Alveolar macrophages	NA	0.002	sialic acid binding Ig-like lectin F	protein coding gene	1	Mesoderm	Lungs
Mm Hs	AGA	Anterior pituitary gland cells	ASRG	0.016	aspartylglucosaminidase	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ANGPT1	Anterior pituitary gland cells	KIAA0003|Ang1	0.011	angiopoietin 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CHGA	Anterior pituitary gland cells	NA	0.056	chromogranin A	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CPEB4	Anterior pituitary gland cells	KIAA1673	0.019	cytoplasmic polyadenylation element binding protein 4	protein-coding gene	NA	Ectoderm	Brain
None	DDX26B	Anterior pituitary gland cells	NA	0.004	NA	NA	NA	Ectoderm	Brain
Mm	GH	Anterior pituitary gland cells	NA	0.006	growth hormone	protein coding gene	1	Ectoderm	Brain
Mm Hs	IGSF1	Anterior pituitary gland cells	KIAA0364|IGDC1|IGCD1|INHBP|MGC75490|PGSF2	0.003	immunoglobulin superfamily member 1	protein-coding gene	1	Ectoderm	Brain
Mm Hs	MEST	Anterior pituitary gland cells	PEG1	0.035	mesoderm specific transcript	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NKTR	Anterior pituitary gland cells	p104	0.066	natural killer cell triggering receptor	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NUCB2	Anterior pituitary gland cells	NEFA	0.064	nucleobindin 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PITX2	Anterior pituitary gland cells	IGDS|Brx1|Otlx2|IRID2|IHG2|RIEG|RIEG1|RGS	0.01	paired like homeodomain 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	POU1F1	Anterior pituitary gland cells	GHF-1|POU1F1a|PIT-1|PIT1	0.001	POU class 1 homeobox 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PRL	Anterior pituitary gland cells	NA	0.006	prolactin	protein-coding gene	1	Ectoderm	Brain
Mm Hs	RAB27A	Anterior pituitary gland cells	RAB27|HsT18676	0.007	RAB27A, member RAS oncogene family	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	RCN3	Anterior pituitary gland cells	RLP49	0.065	reticulocalbin 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SEZ6L2	Anterior pituitary gland cells	PSK-1|FLJ90517	0.048	seizure related 6 homolog like 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SIX6	Anterior pituitary gland cells	Six9|OPTX2	0.006	SIX homeobox 6	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TBRG1	Anterior pituitary gland cells	FLJ14621|TB-5|NIAM	0.056	transforming growth factor beta regulator 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TMEM130	Anterior pituitary gland cells	DKFZp761L1417|FLJ42643	0.043	transmembrane protein 130	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	POMC	Anterior pituitary gland cells	POC|ACTH|NPP|LPH	0.009	proopiomelanocortin	protein-coding gene	1	Ectoderm	Brain
Mm Hs	GMPPA	Anterior pituitary gland cells	NA	0.01	GDP-mannose pyrophosphorylase A	protein-coding gene	NA	Ectoderm	Brain
Mm	TRIM30B	Anterior pituitary gland cells	NA	0.004	tripartite motif-containing 30B	protein coding gene	NA	Ectoderm	Brain
Mm Hs	GNB3	Anterior pituitary gland cells	NA	0.007	G protein subunit beta 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	HEPACAM2	Anterior pituitary gland cells	FLJ38683	0.012	HEPACAM family member 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ASB4	Anterior pituitary gland cells	ASB-4	0.006	ankyrin repeat and SOCS box containing 4	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	RAX	Anterior pituitary gland cells	RX	0.007	retina and anterior neural fold homeobox	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NKX2-1	Anterior pituitary gland cells	TTF-1|TTF1|NKX2A|BCH|TITF1	0.006	NK2 homeobox 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	FGF10	Anterior pituitary gland cells	NA	0.001	fibroblast growth factor 10	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	FSHB	Anterior pituitary gland cells	NA	0.0	follicle stimulating hormone subunit beta	protein-coding gene	1	Ectoderm	Brain
Mm Hs	PCSK1	Anterior pituitary gland cells	PC1|NEC1	0.009	proprotein convertase subtilisin/kexin type 1	protein-coding gene	1	Ectoderm	Brain
Mm Hs	GNRHR	Anterior pituitary gland cells	LHRHR|GRHR	0.001	gonadotropin releasing hormone receptor	protein-coding gene	1	Ectoderm	Brain
Mm Hs	PITX1	Anterior pituitary gland cells	POTX|BFT	0.01	paired like homeodomain 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	S100B	Astrocytes	S100beta	0.069	S100 calcium binding protein B	protein-coding gene	1	Ectoderm	Brain
Mm Hs	SLC1A2	Astrocytes	GLT-1|EAAT2	0.08	solute carrier family 1 member 2	protein-coding gene	1	Ectoderm	Brain
Mm Hs	GFAP	Astrocytes	FLJ45472	0.014	glial fibrillary acidic protein	protein-coding gene	1	Ectoderm	Brain
Mm Hs	BYSL	Astrocytes	Enp1	0.011	bystin like	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ACTA2	Astrocytes	ACTSA	0.034	actin, alpha 2, smooth muscle, aorta	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ALDH1L1	Astrocytes	10-fTHF|FTHFD	0.008	aldehyde dehydrogenase 1 family member L1	protein-coding gene	1	Ectoderm	Brain
Mm Hs	CD40	Astrocytes	Bp50|TNFRSF5	0.012	CD40 molecule	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CD80	Astrocytes	B7.1|B7-1|CD28LG|CD28LG1	0.0	CD80 molecule	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CD86	Astrocytes	B7.2|B7-2|CD28LG2	0.02	CD86 molecule	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	C5AR1	Astrocytes	C5A|C5AR|CD88|C5R1	0.02	complement C5a receptor 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SLC1A3	Astrocytes	EAAT1|GLAST|EA6	0.084	solute carrier family 1 member 3	protein-coding gene	1	Ectoderm	Brain
Mm Hs	FGFR3	Astrocytes	CEK2|JTK4|CD333|ACH	0.021	fibroblast growth factor receptor 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	GJB6	Astrocytes	EDH|CX30|ED2	0.012	gap junction protein beta 6	protein-coding gene	1	Ectoderm	Brain
Mm Hs	AQP4	Astrocytes	MIWC	0.027	aquaporin 4	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	HTRA1	Astrocytes	HtrA|IGFBP5-protease|ARMD7|PRSS11	0.065	HtrA serine peptidase 1	protein-coding gene	1	Ectoderm	Brain
Mm Hs	S100A8	Astrocytes	P8|CGLA|CAGA	0.048	S100 calcium binding protein A8	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CLDN10	Astrocytes	OSP-L|CPETRL3	0.026	claudin 10	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ITIH3	Astrocytes	H3P	0.009	inter-alpha-trypsin inhibitor heavy chain 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SLC25A18	Astrocytes	NA	0.014	solute carrier family 25 member 18	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	BAALC	Astrocytes	NA	0.02	BAALC, MAP3K1 and KLF4 binding	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CAMK2G	Astrocytes	CAMKG	0.034	calcium/calmodulin dependent protein kinase II gamma	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	HEPACAM	Astrocytes	FLJ25530|hepaCAM|GLIALCAM	0.036	hepatic and glial cell adhesion molecule	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NKAIN4	Astrocytes	bA261N11.2|FAM77A|C20orf58	0.038	sodium/potassium transporting ATPase interacting 4	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ACSL6	Astrocytes	KIAA0837|LACS5|FACL6	0.024	acyl-CoA synthetase long chain family member 6	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CXCL14	Astrocytes	BRAK|NJAC|bolekine|Kec|MIP-2g|BMAC|SCYB14	0.049	C-X-C motif chemokine ligand 14	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ADGRG1	Astrocytes	TM7LN4|TM7XN1|GPR56	0.045	adhesion G protein-coupled receptor G1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TIMP4	Astrocytes	NA	0.02	TIMP metallopeptidase inhibitor 4	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ACSBG1	Astrocytes	BGM|FLJ30320|MGC14352|BG1|KIAA0631|hBG1|hsBG	0.023	acyl-CoA synthetase bubblegum family member 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TRIL	Astrocytes	KIAA0644	0.023	TLR4 interactor with leucine rich repeats	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	AGT	Astrocytes	SERPINA8	0.017	angiotensinogen	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	GPR37L1	Astrocytes	ETBR-LP-2	0.042	G protein-coupled receptor 37 like 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SLC4A4	Astrocytes	NBC1|HNBC1|NBC2|pNBC|hhNMC|SLC4A5	0.034	solute carrier family 4 member 4	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NTSR2	Astrocytes	NTR2	0.02	neurotensin receptor 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SLC6A11	Astrocytes	GAT3	0.021	solute carrier family 6 member 11	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TIPARP	Astrocytes	DKFZP434J214|DKFZp686N0351|DDF1|PARP7|PARP-7|PARP-1|pART14|RM1	0.043	TCDD inducible poly(ADP-ribose) polymerase	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	HSPA2	Astrocytes	NA	0.033	heat shock protein family A (Hsp70) member 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SPON1	Astrocytes	KIAA0762|f-spondin	0.023	spondin 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SLC16A2	Astrocytes	XPCT|MCT8|DXS128|AHDS|MRX22	0.026	solute carrier family 16 member 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SYNE1	Astrocytes	SYNE-1B|KIAA0796|8B|Nesprin-1|enaptin|MYNE1|CPG2|dJ45H2.2|SCAR8|ARCA1|Nesp1|C6orf98	0.045	spectrin repeat containing nuclear envelope protein 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CHPT1	Astrocytes	NA	0.048	choline phosphotransferase 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ILDR2	Astrocytes	C1orf32	0.021	immunoglobulin like domain containing receptor 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	COL23A1	Astrocytes	DKFZp434K0621	0.005	collagen type XXIII alpha 1 chain	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TMEM47	Astrocytes	BCMP1|DKFZP761J17121|DKFZp564E153|VAB-9|TM4SF10	0.047	transmembrane protein 47	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TATDN1	Astrocytes	CDA11	0.012	TatD DNase domain containing 1	protein-coding gene	NA	Ectoderm	Brain
None	SEPP1	Astrocytes	NA	0.027	NA	NA	NA	Ectoderm	Brain
Mm Hs	HPCAL4	Astrocytes	HLP4|DKFZp761G122	0.016	hippocalcin like 4	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CAMK2A	Astrocytes	KIAA0968|CAMKA	0.027	calcium/calmodulin dependent protein kinase II alpha	protein-coding gene	NA	Ectoderm	Brain
Mm	BC1	Astrocytes	NA	0.003	brain cytoplasmic RNA 1	lincRNA gene	NA	Ectoderm	Brain
Mm Hs	SLC52A2	Astrocytes	FLJ11856|GPCR41|D15Ertd747e|RFVT2|hRFT3|GPR172A	0.019	solute carrier family 52 member 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	DIO2	Astrocytes	TXDI2|SelY	0.004	iodothyronine deiodinase 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SLC7A10	Astrocytes	asc-1	0.004	solute carrier family 7 member 10	protein-coding gene	1	Ectoderm	Brain
Mm Hs	ENTPD2	Astrocytes	NTPDase-2|CD39L1	0.012	ectonucleoside triphosphate diphosphohydrolase 2	protein-coding gene	1	Ectoderm	Brain
Mm Hs	HSPB6	Astrocytes	FLJ32389|Hsp20|PPP1R91	0.005	heat shock protein family B (small) member 6	protein-coding gene	1	Ectoderm	Brain
Mm Hs	PXMP2	Astrocytes	PMP22	0.006	peroxisomal membrane protein 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PLXNB1	Astrocytes	KIAA0407|PLXN5	0.006	plexin B1	protein-coding gene	1	Ectoderm	Brain
Mm Hs	LCAT	Astrocytes	NA	0.004	lecithin-cholesterol acyltransferase	protein-coding gene	1	Ectoderm	Brain
